"","source","value"
"762","cgtn",2
"763","cgtn",2
"764","cgtn",-3
"765","cgtn",-2
"766","cgtn",-2
"767","cgtn",-2
"768","cgtn",2
"769","cgtn",1
"770","cgtn",2
"771","cgtn",-2
"772","cgtn",-1
"773","cgtn",2
"774","cgtn",1
"775","cgtn",-3
"776","cgtn",-1
"777","cgtn",-2
"778","cgtn",-1
"779","cgtn",-2
"780","cgtn",-2
"781","cgtn",-1
"782","cgtn",-3
"783","cgtn",1
"784","cgtn",-2
"785","cgtn",-2
"786","cgtn",-1
"787","cgtn",1
"788","cgtn",-2
"789","cgtn",-2
"790","cgtn",1
"791","cgtn",-2
"792","cgtn",1
"793","cgtn",1
"794","cgtn",-2
"795","cgtn",-2
"796","cgtn",1
"797","cgtn",-2
"798","cgtn",1
"799","cgtn",-2
"800","cgtn",-2
"801","cgtn",-2
"802","cgtn",-1
"803","cgtn",1
"804","cgtn",-2
"805","cgtn",-1
"806","cgtn",1
"807","cgtn",-2
"808","cgtn",2
"809","cgtn",2
"810","cgtn",-2
"811","cgtn",-1
"812","cgtn",-2
"813","cgtn",-2
"814","cgtn",-1
"815","cgtn",1
"816","cgtn",-1
"817","cgtn",1
"818","cgtn",-1
"819","cgtn",2
"820","cgtn",1
"821","cgtn",-2
"822","cgtn",1
"823","cgtn",2
"824","cgtn",-2
"825","cgtn",1
"826","cgtn",1
"827","cgtn",1
"828","cgtn",2
"829","cgtn",1
"830","cgtn",1
"831","cgtn",-2
"832","cgtn",1
"833","cgtn",-2
"834","cgtn",-2
"835","cgtn",-3
"836","cgtn",1
"837","cgtn",-2
"838","cgtn",1
"839","cgtn",1
"840","cgtn",-2
"841","cgtn",-2
"842","cgtn",-3
"843","cgtn",-2
"844","cgtn",-2
"845","cgtn",-1
"846","cgtn",-1
"847","cgtn",-2
"848","cgtn",1
"849","cgtn",-1
"850","cgtn",-2
"851","cgtn",-2
"852","cgtn",-2
"853","cgtn",-1
"854","cgtn",-2
"855","cgtn",-2
"856","cgtn",2
"857","cgtn",2
"858","cgtn",-2
"859","cgtn",1
"860","cgtn",-1
"861","cgtn",-2
"862","cgtn",-2
"863","cgtn",-2
"864","cgtn",-2
"865","cgtn",-2
"866","cgtn",-2
"867","cgtn",-2
"868","cgtn",-2
"869","cgtn",1
"870","cgtn",2
"871","cgtn",-2
"872","cgtn",-3
"873","cgtn",-2
"874","cgtn",2
"875","cgtn",-2
"876","cgtn",-2
"877","cgtn",-2
"878","cgtn",-2
"879","cgtn",-2
"880","cgtn",-2
"881","cgtn",-3
"882","cgtn",2
"883","cgtn",-1
"884","cgtn",-2
"885","cgtn",-2
"886","cgtn",-2
"887","cgtn",2
"888","cgtn",-2
"889","cgtn",-1
"890","cgtn",3
"891","cgtn",3
"892","cgtn",3
"893","cgtn",-2
"894","cgtn",-1
"895","cgtn",-2
"896","cgtn",-2
"897","cgtn",-1
"898","cgtn",-2
"899","cgtn",-2
"900","cgtn",1
"901","cgtn",-2
"902","cgtn",-1
"903","cgtn",-2
"904","cgtn",1
"905","cgtn",-1
"906","cgtn",-2
"907","cgtn",-2
"908","cgtn",-1
"909","cgtn",1
"910","cgtn",-2
"911","cgtn",2
"912","cgtn",-2
"913","cgtn",1
"914","cgtn",1
"915","cgtn",-1
"916","cgtn",-2
"917","cgtn",-1
"918","cgtn",-1
"919","cgtn",1
"920","cgtn",-1
"921","cgtn",2
"922","cgtn",-2
"923","cgtn",-2
"924","cgtn",1
"925","cgtn",1
"926","cgtn",2
"927","cgtn",1
"928","cgtn",2
"929","cgtn",2
"930","cgtn",-2
"931","cgtn",-2
"932","cgtn",-2
"933","cgtn",-1
"934","cgtn",1
"935","cgtn",-2
"936","cgtn",1
"937","cgtn",-1
"938","cgtn",-2
"939","cgtn",-2
"940","cgtn",-2
"941","cgtn",2
"942","cgtn",-2
"943","cgtn",-2
"944","cgtn",-2
"945","cgtn",-2
"946","cgtn",-2
"947","cgtn",-2
"948","cgtn",-1
"949","cgtn",2
"950","cgtn",-2
"951","cgtn",2
"952","cgtn",-2
"953","cgtn",2
"954","cgtn",-2
"955","cgtn",-1
"956","cgtn",-2
"957","cgtn",-1
"958","cgtn",1
"959","cgtn",-1
"960","cgtn",-2
"961","cgtn",1
"962","cgtn",1
"963","cgtn",1
"964","cgtn",1
"965","cgtn",-1
"966","cgtn",-1
"967","cgtn",-2
"968","cgtn",1
"969","cgtn",-2
"970","cgtn",2
"971","cgtn",-2
"972","cgtn",1
"973","cgtn",-2
"974","cgtn",-2
"975","cgtn",1
"976","cgtn",-1
"977","cgtn",-2
"978","cgtn",2
"979","cgtn",1
"980","cgtn",-2
"981","cgtn",1
"982","cgtn",-2
"983","cgtn",2
"984","cgtn",-2
"985","cgtn",1
"986","cgtn",-2
"987","cgtn",2
"988","cgtn",-3
"989","cgtn",-1
"990","cgtn",-4
"991","cgtn",2
"992","cgtn",1
"993","cgtn",-1
"994","cgtn",2
"995","cgtn",-1
"996","cgtn",-1
"997","cgtn",2
"998","cgtn",2
"999","cgtn",-2
"1000","cgtn",-2
"1001","cgtn",-2
"1002","cgtn",-2
"1003","cgtn",-2
"1004","cgtn",1
"1005","cgtn",-2
"1006","cgtn",-2
"1007","cgtn",-2
"1008","cgtn",-2
"1009","cgtn",-3
"1010","cgtn",1
"1011","cgtn",-2
"1012","cgtn",-2
"1013","cgtn",-2
"1014","cgtn",-1
"1015","cgtn",-3
"1016","cgtn",-1
"1017","cgtn",-3
"1018","cgtn",-2
"1019","cgtn",-3
"1020","cgtn",-2
"1021","cgtn",-2
"1022","cgtn",-2
"1023","cgtn",-2
"1024","cgtn",-2
"1025","cgtn",1
"1026","cgtn",-2
"1027","cgtn",-2
"1028","cgtn",-2
"1029","cgtn",-1
"1030","cgtn",1
"1031","cgtn",-2
"1032","cgtn",-1
"1033","cgtn",1
"1034","cgtn",-2
"1035","cgtn",-2
"1036","cgtn",-2
"1037","cgtn",-2
"1038","cgtn",-1
"1039","cgtn",-3
"1040","cgtn",-2
"1041","cgtn",-2
"1042","cgtn",1
"1043","cgtn",-1
"1044","cgtn",-1
"1045","cgtn",-1
"1046","cgtn",1
"1047","cgtn",-2
"1048","cgtn",-2
"1049","cgtn",2
"1050","cgtn",1
"1051","cgtn",-2
"1052","cgtn",2
"1053","cgtn",1
"1054","cgtn",-1
"1055","cgtn",-1
"1056","cgtn",1
"1057","cgtn",-2
"1058","cgtn",-2
"1059","cgtn",1
"1060","cgtn",-2
"1061","cgtn",-2
"1062","cgtn",1
"1063","cgtn",1
"1064","cgtn",-2
"1065","cgtn",2
"1066","cgtn",-2
"1067","cgtn",1
"1068","cgtn",-2
"1069","cgtn",2
"1070","cgtn",1
"1071","cgtn",-1
"1072","cgtn",2
"1073","cgtn",-1
"1074","cgtn",-1
"1075","cgtn",2
"1076","cgtn",-1
"1077","cgtn",2
"1078","cgtn",-2
"1079","cgtn",-2
"1080","cgtn",-2
"1081","cgtn",-1
"1082","cgtn",2
"1083","cgtn",2
"1084","cgtn",-2
"1085","cgtn",-2
"1086","cgtn",-3
"1087","cgtn",-2
"1088","cgtn",2
"1089","cgtn",2
"1090","cgtn",2
"1091","cgtn",1
"1092","cgtn",-1
"1093","cgtn",1
"1094","cgtn",-2
"1095","cgtn",-1
"1096","cgtn",-1
"1097","cgtn",-1
"1098","cgtn",1
"1099","cgtn",-2
"1100","cgtn",-2
"1101","cgtn",-2
"1102","cgtn",-2
"1103","cgtn",1
"1104","cgtn",-1
"1105","cgtn",2
"1106","cgtn",-1
"1107","cgtn",-2
"1108","cgtn",-2
"1109","cgtn",-3
"1110","cgtn",-3
"1111","cgtn",-1
"1112","cgtn",3
"1113","cgtn",-2
"1114","cgtn",-1
"1115","cgtn",-2
"1116","cgtn",-2
"1117","cgtn",-2
"1118","cgtn",-2
"1119","cgtn",-2
"1120","cgtn",-2
"1121","cgtn",2
"1122","cgtn",1
"1123","cgtn",-1
"1124","cgtn",-2
"1125","cgtn",-2
"1126","cgtn",2
"1127","cgtn",-3
"1128","cgtn",-1
"1129","cgtn",-2
"1130","cgtn",-1
"1131","cgtn",-1
"1132","cgtn",-2
"1133","cgtn",1
"1134","cgtn",1
"1135","cgtn",-2
"1136","cgtn",-2
"1137","cgtn",2
"1138","cgtn",-1
"1139","cgtn",2
"1140","cgtn",-2
"1141","cgtn",-2
"1142","cgtn",-2
"1143","cgtn",-1
